,gpu,gpu_point
573,Radeon R9 350,2027
574,Radeon Ryzen 7 PRO 4750U,2026
575,Radeon R9 M385,2018
576,Ryzen 5 5500U with Radeon Graphics,2012
577,Radeon Pro W5500M,2010
578,Radeon Pro,2010
579,Quadro K4000M,2009
580,Ryzen 5 PRO 4500U with Radeon Graphics,2008
581,GeForce 945M,2008
582,GeForce GTX 560 SE,2006
